,Unnamed: 0,Date, Time, Left_pos.x, Left_pos.y, Left_pos.z, Left_rot.x, Left_rot.y, Left_rot.z, EDA, BVP, TMP, combined_x, combined_y, combined_z, r_bit, r_open, r_dir_x, r_dir_y, r_dir_z, r_gaze_origin_x, r_gaze_origin_y, r_gaze_origin_z, r_pupil, r_pupil_pos, r_pupil_pos_x, r_pupil_pos_y, r_frown, r_squeeze, r_widel_bit, l_open, l_dir_x, l_dir_y, l_dir_z, l_gaze_origin_x, l_gaze_origin_y, l_gaze_origin_z, l_pupil, l_pupil_pos, l_pupil_pos_x, l_pupil_pos_y, l_frown, l_squeeze, l_wide
3,3,20210608, 16:22:33,0.09606123,1.248481,-0.1929352,-0.02919804,0.7916841,0.04761337, E4_Gsr 1623136953.228 0.2485483, , R device_subscribe gsr O,0.2280579,-0.08395386,0.9700165,31,0.9733514,0.1020966,-0.09976196,0.9897461,-34.19553,3.03244,-34.72208,3.9048,0.5939314,0.5594451,0,0,0,31,0.9134364,0.3089752,-0.07279968,0.9482727,36.60074,4.644226,-31.04749,4.864288,0.3245914,0.4505186,0,0,0,
4,4,20210608, 16:22:33,0.09606123,1.248481,-0.1929352,-0.02919804,0.7916841,0.04761337, E4_Gsr 1623136953.228 0.2485483, , R device_subscribe gsr O,0.2280579,-0.08395386,0.9700165,31,0.9733514,0.1020966,-0.09976196,0.9897461,-34.19553,3.03244,-34.72208,3.9048,0.5939314,0.5594451,0,0,0,31,0.9134364,0.3089752,-0.07279968,0.9482727,36.60074,4.644226,-31.04749,4.864288,0.3245914,0.4505186,0,0,0,
5,5,20210608, 16:22:33,0.09606123,1.248481,-0.1929352,-0.02919804,0.7916841,0.04761337, E4_Gsr 1623136953.228 0.2485483, , R device_subscribe gsr O,0.2280579,-0.08395386,0.9700165,31,0.9733514,0.1020966,-0.09976196,0.9897461,-34.19553,3.03244,-34.72208,3.9048,0.5939314,0.5594451,0,0,0,31,0.9134364,0.3089752,-0.07279968,0.9482727,36.60074,4.644226,-31.04749,4.864288,0.3245914,0.4505186,0,0,0,
6,6,20210608, 16:22:33,0.09630203,1.248606,-0.1923419,-0.02903067,0.7905657,0.0480892, E4_Gsr 1623136953.228 0.2485483, , R device_subscribe gsr O,0.2231598,-0.08648682,0.970932,31,0.9820754,0.1023865,-0.1046143,0.989212,-34.20154,3.031616,-34.71252,3.862137,0.5940356,0.5599747,0,0,0,31,0.9239553,0.3082123,-0.07258606,0.9485321,36.60283,4.644226,-31.0563,4.752167,0.3246856,0.4505186,0,0,0,
7,7,20210608, 16:22:33,0.09630203,1.248606,-0.1923419,-0.02903067,0.7905657,0.0480892, E4_Gsr 1623136953.228 0.2485483, , R device_subscribe gsr O,0.2231598,-0.08648682,0.970932,31,0.9820754,0.1023865,-0.1046143,0.989212,-34.20154,3.031616,-34.71252,3.862137,0.5940356,0.5599747,0,0,0,31,0.9239553,0.3082123,-0.07258606,0.9485321,36.60283,4.644226,-31.0563,4.752167,0.3246856,0.4505186,0,0,0,
8,8,20210608, 16:22:33,0.09630203,1.248606,-0.1923419,-0.02903067,0.7905657,0.0480892, E4_Gsr 1623136953.228 0.2485483, , R device_subscribe gsr O,0.2231598,-0.08648682,0.970932,31,0.9820754,0.1023865,-0.1046143,0.989212,-34.20154,3.031616,-34.71252,3.862137,0.5940356,0.5599747,0,0,0,31,0.9239553,0.3082123,-0.07258606,0.9485321,36.60283,4.644226,-31.0563,4.752167,0.3246856,0.4505186,0,0,0,
9,9,20210608, 16:22:33,0.09640288,1.248565,-0.1916931,-0.02837918,0.7889429,0.04877744, E4_Gsr 1623136953.228 0.2485483, , R device_subscribe gsr O,0.2194366,-0.08680725,0.9717407,31,0.9728628,0.1005249,-0.1047821,0.9893951,-34.20279,3.03154,-34.71204,3.828201,0.5942618,0.5599747,0,0,0,31,0.9145513,0.3057709,-0.07261658,0.9493256,36.60283,4.644226,-31.05681,4.732574,0.3250049,0.4505186,0,0,0,
10,10,20210608, 16:22:33,0.09640288,1.248565,-0.1916931,-0.02837918,0.7889429,0.04877744, E4_Gsr 1623136953.228 0.2485483, , R device_subscribe gsr O,0.2194366,-0.08680725,0.9717407,31,0.9728628,0.1005249,-0.1047821,0.9893951,-34.20279,3.03154,-34.71204,3.828201,0.5942618,0.5599747,0,0,0,31,0.9145513,0.3057709,-0.07261658,0.9493256,36.60283,4.644226,-31.05681,4.732574,0.3250049,0.4505186,0,0,0,
11,11,20210608, 16:22:33,0.09640288,1.248565,-0.1916931,-0.02837918,0.7889429,0.04877744, E4_Gsr 1623136953.228 0.2485483, , R device_subscribe gsr O,0.2194366,-0.08680725,0.9717407,31,0.9728628,0.1005249,-0.1047821,0.9893951,-34.20279,3.03154,-34.71204,3.828201,0.5942618,0.5599747,0,0,0,31,0.9145513,0.3057709,-0.07261658,0.9493256,36.60283,4.644226,-31.05681,4.732574,0.3250049,0.4505186,0,0,0,
12,12,20210608, 16:22:33,0.0966506,1.248663,-0.1909831,-0.02799924,0.7871161,0.04952618, E4_Gsr 1623136953.228 0.2485483, , R device_subscribe gsr O,0.2155914,-0.08903503,0.9724121,31,0.9729647,0.09429932,-0.1070709,0.9897614,-34.20786,3.030319,-34.69606,3.764587,0.5951098,0.5600848,0,0,0,31,0.9203091,0.3015137,-0.07510376,0.9504852,36.60049,4.643997,-31.0591,4.68367,0.325655,0.4508133,0,0,0,
